complaint_id,text,category,priority,sentiment,resolution_time
7546,The package was crushed,Packaging,Medium,neutral,12
7547,Wrapping was completely destroyed critical!!!,Packaging,High,negative,5
7548,What is the wholesale price? urgent!!!,Trade,High,negative,5
7549,This product broke immediately No rush.,Product,Low,positive,29
7550,I need a quote for a large order It has been 3 days.,Trade,Medium,neutral,9
7551,Need bulk order details It has been 5 days.,Trade,Medium,neutral,7
7552,Box was broken,Packaging,Medium,neutral,15
7553,I need a quote for a large order,Trade,Medium,neutral,14
7554,This product broke immediately immediately!!!,Product,High,negative,1
7555,Torn box No rush.,Packaging,Low,positive,19
7556,Item is completely broken emergency!,Product,High,negative,4
7557,Product stopped working deadline!!,Product,High,negative,4
7558,Box was broken No rush.,Packaging,Low,positive,25
7559,Item is completely broken,Product,Medium,neutral,10
7560,Torn box No rush.,Packaging,Low,positive,28
7561,Quality is terrible and broke,Product,Medium,neutral,11
7562,Damaged packaging,Packaging,Medium,neutral,13
7563,What is the wholesale price?,Trade,High,negative,5
7564,This product broke immediately resolve soon!!,Product,High,negative,2
7565,Box was broken No rush.,Packaging,Low,positive,25
7566,This product broke immediately emergency!,Product,High,negative,3
7567,This product broke immediately It has been 4 days.,Product,Medium,neutral,11
7568,Quality is terrible and broke resolve soon!!,Product,High,negative,1
7569,Box was broken,Packaging,Medium,neutral,14
7570,Inquiry about pricing,Trade,High,negative,2
7571,I need a quote for a large order No rush.,Trade,Low,positive,16
7572,Inquiry about pricing No rush.,Trade,Low,positive,16
7573,Torn box,Packaging,Medium,neutral,8
7574,Trade-related query It has been 2 days.,Trade,Medium,neutral,15
7575,Torn box,Packaging,Medium,neutral,7
7576,Product malfunctioning fast!!,Product,High,negative,2
7577,Product stopped working,Product,Medium,neutral,11
7578,Inquiry about pricing,Trade,Medium,neutral,11
7579,Box was broken It has been 5 days.,Packaging,Medium,neutral,8
7580,Defective item received critical!!,Product,High,negative,3
7581,The package was crushed immediately!,Packaging,High,negative,1
7582,Torn box No rush.,Packaging,Low,positive,28
7583,Item is completely broken resolve soon!!!,Product,High,negative,1
7584,Torn box,Packaging,High,negative,2
7585,Product malfunctioning,Product,Medium,neutral,13
7586,Product malfunctioning,Product,Medium,neutral,15
7587,Product stopped working,Product,Medium,neutral,8
7588,Torn box It has been 5 days.,Packaging,Medium,neutral,7
7589,Defective item received No rush.,Product,Low,positive,30
7590,Damaged packaging urgent!!,Packaging,High,negative,3
7591,Quality is terrible and broke,Product,Medium,neutral,10
7592,Quality is terrible and broke critical!!!,Product,High,negative,5
7593,Need bulk order details quick!!,Trade,High,negative,1
7594,Need bulk order details No rush.,Trade,Low,positive,29
7595,Trade-related query,Trade,Medium,neutral,15
7596,Damaged packaging quick!!!,Packaging,High,negative,1
7597,Torn box It has been 2 days.,Packaging,Medium,neutral,11
7598,This product broke immediately No rush.,Product,Low,positive,22
7599,This product broke immediately,Product,High,negative,4
7600,Product stopped working No rush.,Product,Low,positive,24
7601,Product malfunctioning fast!,Product,High,negative,2
7602,Wrapping was completely destroyed,Packaging,Medium,neutral,11
7603,Defective item received,Product,Medium,neutral,14
7604,Defective item received urgent!!,Product,High,negative,5
7605,Need bulk order details deadline!!!,Trade,High,negative,1
7606,Product malfunctioning urgent!,Product,High,negative,2
7607,I need a refund because it broke asap!,Product,High,negative,5
7608,Product malfunctioning It has been 5 days.,Product,Medium,neutral,11
7609,Torn box,Packaging,High,negative,5
7610,Trade-related query deadline!!!,Trade,High,negative,4
7611,Defective item received It has been 2 days.,Product,Medium,neutral,12
7612,Product stopped working fast!!!,Product,High,negative,3
7613,I need a quote for a large order It has been 3 days.,Trade,Medium,neutral,15
7614,Defective item received critical!!,Product,High,negative,4
7615,Box was broken asap!!!,Packaging,High,negative,4
7616,Product stopped working,Product,High,negative,3
7617,Wrapping was completely destroyed No rush.,Packaging,Low,positive,29
7618,Poor packaging quality fast!!,Packaging,High,negative,2
7619,Product stopped working It has been 3 days.,Product,Medium,neutral,8
7620,What is the wholesale price? asap!!!,Trade,High,negative,4
7621,Wrapping was completely destroyed,Packaging,High,negative,3
7622,What is the wholesale price? emergency!!,Trade,High,negative,1
7623,Product malfunctioning No rush.,Product,Low,positive,30
7624,Box was broken,Packaging,Medium,neutral,7
7625,Product malfunctioning It has been 2 days.,Product,Medium,neutral,13
7626,What is the wholesale price? It has been 5 days.,Trade,Medium,neutral,8
7627,Item is completely broken No rush.,Product,Low,positive,29
7628,This product broke immediately No rush.,Product,Low,positive,27
7629,Torn box It has been 3 days.,Packaging,Medium,neutral,11
7630,Product stopped working resolve soon!,Product,High,negative,2
7631,I need a refund because it broke fast!!,Product,High,negative,1
7632,I need a refund because it broke immediately!!!,Product,High,negative,3
7633,Poor packaging quality No rush.,Packaging,Low,positive,24
7634,I need a quote for a large order asap!,Trade,High,negative,1
7635,I need a quote for a large order No rush.,Trade,Low,positive,24
7636,Defective item received It has been 3 days.,Product,Medium,neutral,12
7637,Wrapping was completely destroyed No rush.,Packaging,Low,positive,16
7638,This product broke immediately,Product,Medium,neutral,8
7639,I need a quote for a large order urgent!!!,Trade,High,negative,3
7640,Damaged packaging It has been 5 days.,Packaging,Medium,neutral,11
7641,Inquiry about pricing,Trade,Medium,neutral,8
7642,What is the wholesale price? urgent!!!,Trade,High,negative,2
7643,Wrapping was completely destroyed,Packaging,High,negative,4
7644,Torn box urgent!!,Packaging,High,negative,5
7645,Product stopped working,Product,Medium,neutral,12
7646,I need a refund because it broke,Product,Medium,neutral,14
7647,Trade-related query No rush.,Trade,Low,positive,19
7648,Wrapping was completely destroyed,Packaging,High,negative,1
7649,The package was crushed quick!!!,Packaging,High,negative,3
7650,Quality is terrible and broke No rush.,Product,Low,positive,24
7651,Trade-related query,Trade,Medium,neutral,14
7652,I need a quote for a large order,Trade,High,negative,3
7653,Product malfunctioning,Product,Medium,neutral,8
7654,Box was broken No rush.,Packaging,Low,positive,24
7655,Product stopped working,Product,Medium,neutral,6
7656,Defective item received urgent!!!,Product,High,negative,5
7657,Item is completely broken,Product,Medium,neutral,13
7658,This product broke immediately deadline!,Product,High,negative,2
7659,The package was crushed,Packaging,High,negative,2
7660,Product stopped working immediately!!!,Product,High,negative,2
7661,Poor packaging quality,Packaging,Medium,neutral,8
7662,Item is completely broken fast!!,Product,High,negative,5
7663,What is the wholesale price? quick!!,Trade,High,negative,4
7664,The package was crushed It has been 4 days.,Packaging,Medium,neutral,7
7665,I need a quote for a large order resolve soon!!,Trade,High,negative,1
7666,This product broke immediately It has been 2 days.,Product,Medium,neutral,7
7667,I need a refund because it broke No rush.,Product,Low,positive,23
7668,Product malfunctioning critical!!!,Product,High,negative,4
7669,Torn box deadline!,Packaging,High,negative,5
7670,Need bulk order details urgent!,Trade,High,negative,1
7671,Box was broken,Packaging,Medium,neutral,13
7672,Poor packaging quality critical!!!,Packaging,High,negative,1
7673,This product broke immediately,Product,Medium,neutral,6
7674,I need a quote for a large order,Trade,Medium,neutral,14
7675,Product stopped working No rush.,Product,Low,positive,21
7676,Torn box It has been 3 days.,Packaging,Medium,neutral,9
7677,This product broke immediately fast!!,Product,High,negative,2
7678,What is the wholesale price?,Trade,High,negative,5
7679,Product stopped working It has been 5 days.,Product,Medium,neutral,9
7680,What is the wholesale price?,Trade,Medium,neutral,15
7681,I need a quote for a large order deadline!!!,Trade,High,negative,2
7682,Quality is terrible and broke No rush.,Product,Low,positive,17
7683,Poor packaging quality No rush.,Packaging,Low,positive,26
7684,I need a refund because it broke It has been 5 days.,Product,Medium,neutral,11
7685,Torn box,Packaging,High,negative,4
7686,Torn box No rush.,Packaging,Low,positive,22
7687,Product stopped working critical!!,Product,High,negative,5
7688,Poor packaging quality fast!!,Packaging,High,negative,3
7689,Wrapping was completely destroyed,Packaging,Medium,neutral,15
7690,This product broke immediately quick!!!,Product,High,negative,5
7691,Product stopped working It has been 3 days.,Product,Medium,neutral,13
7692,Item is completely broken It has been 4 days.,Product,Medium,neutral,11
7693,Damaged packaging It has been 4 days.,Packaging,Medium,neutral,14
7694,Need bulk order details critical!!!,Trade,High,negative,2
7695,Wrapping was completely destroyed No rush.,Packaging,Low,positive,19
7696,I need a quote for a large order,Trade,High,negative,4
7697,Item is completely broken It has been 4 days.,Product,Medium,neutral,13
7698,Trade-related query,Trade,High,negative,2
7699,Product malfunctioning urgent!!,Product,High,negative,3
7700,This product broke immediately,Product,Medium,neutral,10
7701,Inquiry about pricing No rush.,Trade,Low,positive,22
7702,Item is completely broken No rush.,Product,Low,positive,16
7703,Inquiry about pricing It has been 2 days.,Trade,Medium,neutral,12
7704,Item is completely broken It has been 3 days.,Product,Medium,neutral,8
7705,Wrapping was completely destroyed,Packaging,Medium,neutral,7
7706,Wrapping was completely destroyed deadline!!,Packaging,High,negative,2
7707,Product malfunctioning emergency!!,Product,High,negative,2
7708,Defective item received,Product,High,negative,1
7709,Trade-related query No rush.,Trade,Low,positive,16
7710,The package was crushed It has been 4 days.,Packaging,Medium,neutral,12
7711,What is the wholesale price? No rush.,Trade,Low,positive,29
7712,I need a refund because it broke,Product,Medium,neutral,10
7713,Product stopped working No rush.,Product,Low,positive,26
7714,Trade-related query No rush.,Trade,Low,positive,29
7715,Defective item received It has been 5 days.,Product,Medium,neutral,6
7716,Torn box,Packaging,High,negative,3
7717,Need bulk order details fast!!,Trade,High,negative,2
7718,Poor packaging quality No rush.,Packaging,Low,positive,29
7719,Torn box It has been 5 days.,Packaging,Medium,neutral,8
7720,Damaged packaging It has been 4 days.,Packaging,Medium,neutral,11
7721,What is the wholesale price?,Trade,Medium,neutral,6
7722,Item is completely broken No rush.,Product,Low,positive,21
7723,The package was crushed No rush.,Packaging,Low,positive,25
7724,Damaged packaging,Packaging,Medium,neutral,13
7725,Poor packaging quality,Packaging,High,negative,5
7726,I need a refund because it broke No rush.,Product,Low,positive,23
7727,Quality is terrible and broke deadline!!!,Product,High,negative,4
7728,Inquiry about pricing No rush.,Trade,Low,positive,29
7729,This product broke immediately,Product,Medium,neutral,15
7730,Need bulk order details It has been 5 days.,Trade,Medium,neutral,8
7731,I need a quote for a large order,Trade,Medium,neutral,7
7732,I need a quote for a large order It has been 5 days.,Trade,Medium,neutral,15
7733,I need a quote for a large order immediately!,Trade,High,negative,3
7734,I need a quote for a large order,Trade,Medium,neutral,12
7735,Torn box It has been 3 days.,Packaging,Medium,neutral,15
7736,Defective item received,Product,High,negative,1
7737,Box was broken It has been 5 days.,Packaging,Medium,neutral,12
7738,Inquiry about pricing No rush.,Trade,Low,positive,25
7739,Product stopped working No rush.,Product,Low,positive,28
7740,The package was crushed resolve soon!!,Packaging,High,negative,2
7741,Box was broken critical!!,Packaging,High,negative,2
7742,Need bulk order details deadline!!!,Trade,High,negative,2
7743,Damaged packaging,Packaging,Medium,neutral,10
7744,Damaged packaging,Packaging,High,negative,2
7745,Wrapping was completely destroyed critical!,Packaging,High,negative,1
7746,Damaged packaging fast!!!,Packaging,High,negative,2
7747,Wrapping was completely destroyed No rush.,Packaging,Low,positive,20
7748,I need a quote for a large order No rush.,Trade,Low,positive,25
7749,Inquiry about pricing No rush.,Trade,Low,positive,16
7750,Torn box asap!!,Packaging,High,negative,5
7751,Inquiry about pricing No rush.,Trade,Low,positive,18
7752,Inquiry about pricing No rush.,Trade,Low,positive,21
7753,I need a refund because it broke It has been 2 days.,Product,Medium,neutral,12
7754,The package was crushed No rush.,Packaging,Low,positive,25
7755,I need a quote for a large order It has been 4 days.,Trade,Medium,neutral,10
7756,Inquiry about pricing urgent!,Trade,High,negative,3
7757,Damaged packaging,Packaging,Medium,neutral,7
7758,Product stopped working fast!!,Product,High,negative,4
7759,Box was broken It has been 4 days.,Packaging,Medium,neutral,11
7760,Item is completely broken No rush.,Product,Low,positive,27
7761,Box was broken It has been 5 days.,Packaging,Medium,neutral,13
7762,Poor packaging quality,Packaging,Medium,neutral,14
7763,Box was broken It has been 5 days.,Packaging,Medium,neutral,6
7764,Torn box No rush.,Packaging,Low,positive,30
7765,I need a refund because it broke It has been 3 days.,Product,Medium,neutral,7
7766,I need a refund because it broke No rush.,Product,Low,positive,23
7767,Trade-related query No rush.,Trade,Low,positive,18
7768,Poor packaging quality resolve soon!!,Packaging,High,negative,3
7769,Item is completely broken It has been 3 days.,Product,Medium,neutral,11
7770,This product broke immediately immediately!!!,Product,High,negative,5
7771,This product broke immediately deadline!!!,Product,High,negative,4
7772,Torn box critical!!!,Packaging,High,negative,2
7773,Trade-related query It has been 2 days.,Trade,Medium,neutral,10
7774,Quality is terrible and broke No rush.,Product,Low,positive,25
7775,Wrapping was completely destroyed,Packaging,Medium,neutral,15
7776,Defective item received No rush.,Product,Low,positive,22
7777,Defective item received,Product,High,negative,3
7778,Inquiry about pricing It has been 3 days.,Trade,Medium,neutral,6
7779,Product malfunctioning fast!,Product,High,negative,5
7780,I need a refund because it broke,Product,Medium,neutral,12
7781,Damaged packaging No rush.,Packaging,Low,positive,27
7782,Wrapping was completely destroyed No rush.,Packaging,Low,positive,21
7783,Inquiry about pricing No rush.,Trade,Low,positive,17
7784,Damaged packaging It has been 5 days.,Packaging,Medium,neutral,11
7785,Wrapping was completely destroyed,Packaging,Medium,neutral,6
7786,What is the wholesale price? asap!!,Trade,High,negative,3
7787,Quality is terrible and broke,Product,High,negative,5
7788,I need a quote for a large order,Trade,High,negative,1
7789,Damaged packaging,Packaging,Medium,neutral,13
7790,I need a quote for a large order It has been 3 days.,Trade,Medium,neutral,9
7791,Product stopped working,Product,Medium,neutral,12
7792,Trade-related query No rush.,Trade,Low,positive,28
7793,Torn box emergency!!,Packaging,High,negative,1
7794,Torn box It has been 3 days.,Packaging,Medium,neutral,9
7795,I need a quote for a large order It has been 3 days.,Trade,Medium,neutral,7
7796,I need a refund because it broke,Product,High,negative,3
7797,I need a quote for a large order,Trade,Medium,neutral,8
7798,Defective item received,Product,High,negative,2
7799,Item is completely broken,Product,Medium,neutral,8
7800,Inquiry about pricing,Trade,Medium,neutral,13
7801,Product stopped working,Product,High,negative,3
7802,Box was broken emergency!,Packaging,High,negative,1
7803,Need bulk order details critical!,Trade,High,negative,1
7804,This product broke immediately It has been 4 days.,Product,Medium,neutral,14
7805,Poor packaging quality asap!,Packaging,High,negative,4
7806,Need bulk order details No rush.,Trade,Low,positive,28
7807,Wrapping was completely destroyed It has been 2 days.,Packaging,Medium,neutral,11
7808,Wrapping was completely destroyed,Packaging,Medium,neutral,15
7809,Damaged packaging resolve soon!!,Packaging,High,negative,1
7810,Defective item received quick!,Product,High,negative,4
7811,Trade-related query No rush.,Trade,Low,positive,29
7812,Inquiry about pricing,Trade,Medium,neutral,15
7813,Product stopped working,Product,Medium,neutral,9
7814,Inquiry about pricing resolve soon!!,Trade,High,negative,2
7815,Torn box It has been 2 days.,Packaging,Medium,neutral,11
7816,I need a quote for a large order emergency!,Trade,High,negative,2
7817,This product broke immediately No rush.,Product,Low,positive,23
7818,Box was broken It has been 3 days.,Packaging,Medium,neutral,7
7819,Item is completely broken emergency!!,Product,High,negative,5
7820,Box was broken No rush.,Packaging,Low,positive,17
7821,Box was broken It has been 5 days.,Packaging,Medium,neutral,11
7822,I need a quote for a large order deadline!!!,Trade,High,negative,2
7823,Wrapping was completely destroyed It has been 2 days.,Packaging,Medium,neutral,10
7824,I need a refund because it broke,Product,Medium,neutral,11
7825,I need a quote for a large order,Trade,Medium,neutral,12
7826,Item is completely broken No rush.,Product,Low,positive,16
7827,Damaged packaging It has been 4 days.,Packaging,Medium,neutral,11
7828,I need a refund because it broke,Product,Medium,neutral,6
7829,Product stopped working No rush.,Product,Low,positive,20
7830,Damaged packaging fast!!!,Packaging,High,negative,5
7831,I need a quote for a large order It has been 3 days.,Trade,Medium,neutral,15
7832,I need a refund because it broke resolve soon!,Product,High,negative,4
7833,Torn box It has been 2 days.,Packaging,Medium,neutral,7
7834,Trade-related query No rush.,Trade,Low,positive,24
7835,Need bulk order details resolve soon!!!,Trade,High,negative,3
7836,What is the wholesale price? critical!,Trade,High,negative,2
7837,Quality is terrible and broke No rush.,Product,Low,positive,17
7838,Item is completely broken,Product,Medium,neutral,10
7839,Defective item received critical!,Product,High,negative,1
7840,Inquiry about pricing No rush.,Trade,Low,positive,27
7841,Product malfunctioning No rush.,Product,Low,positive,24
7842,Wrapping was completely destroyed asap!,Packaging,High,negative,2
7843,Product malfunctioning,Product,High,negative,4
7844,Product stopped working,Product,High,negative,4
7845,Inquiry about pricing No rush.,Trade,Low,positive,30
7846,Item is completely broken,Product,Medium,neutral,8
7847,Damaged packaging It has been 4 days.,Packaging,Medium,neutral,15
7848,Trade-related query It has been 4 days.,Trade,Medium,neutral,14
7849,Torn box No rush.,Packaging,Low,positive,18
7850,Need bulk order details,Trade,Medium,neutral,9
7851,Inquiry about pricing No rush.,Trade,Low,positive,29
7852,Quality is terrible and broke,Product,High,negative,2
7853,The package was crushed No rush.,Packaging,Low,positive,22
7854,Trade-related query resolve soon!!!,Trade,High,negative,5
7855,Quality is terrible and broke fast!!,Product,High,negative,4
7856,What is the wholesale price?,Trade,Medium,neutral,15
7857,Need bulk order details It has been 2 days.,Trade,Medium,neutral,14
7858,Trade-related query fast!,Trade,High,negative,5
7859,Inquiry about pricing emergency!!,Trade,High,negative,3
7860,Trade-related query,Trade,Medium,neutral,14
7861,Inquiry about pricing asap!!!,Trade,High,negative,4
7862,Product stopped working No rush.,Product,Low,positive,30
7863,I need a quote for a large order,Trade,High,negative,3
7864,Damaged packaging,Packaging,Medium,neutral,7
7865,Product malfunctioning,Product,High,negative,2
7866,Wrapping was completely destroyed It has been 2 days.,Packaging,Medium,neutral,10
7867,What is the wholesale price? No rush.,Trade,Low,positive,27
7868,Poor packaging quality urgent!!,Packaging,High,negative,5
7869,What is the wholesale price? emergency!,Trade,High,negative,1
7870,Inquiry about pricing,Trade,Medium,neutral,15
7871,Product malfunctioning No rush.,Product,Low,positive,25
7872,This product broke immediately,Product,Medium,neutral,14
7873,Need bulk order details No rush.,Trade,Low,positive,19
7874,Product malfunctioning immediately!,Product,High,negative,5
7875,The package was crushed,Packaging,High,negative,3
7876,Quality is terrible and broke,Product,Medium,neutral,8
7877,Defective item received quick!!,Product,High,negative,3
7878,Box was broken It has been 5 days.,Packaging,Medium,neutral,12
7879,Defective item received No rush.,Product,Low,positive,26
7880,Trade-related query It has been 4 days.,Trade,Medium,neutral,11
7881,The package was crushed No rush.,Packaging,Low,positive,20
7882,I need a quote for a large order No rush.,Trade,Low,positive,24
7883,Torn box urgent!,Packaging,High,negative,2
7884,Inquiry about pricing immediately!,Trade,High,negative,1
7885,Trade-related query It has been 5 days.,Trade,Medium,neutral,9
7886,I need a refund because it broke,Product,Medium,neutral,12
7887,Inquiry about pricing It has been 2 days.,Trade,Medium,neutral,9
7888,Defective item received,Product,Medium,neutral,14
7889,Wrapping was completely destroyed No rush.,Packaging,Low,positive,22
7890,What is the wholesale price? No rush.,Trade,Low,positive,30
7891,What is the wholesale price? No rush.,Trade,Low,positive,21
7892,Box was broken No rush.,Packaging,Low,positive,17
7893,Box was broken No rush.,Packaging,Low,positive,28
7894,Inquiry about pricing fast!!,Trade,High,negative,4
7895,The package was crushed,Packaging,High,negative,3
7896,Defective item received emergency!!,Product,High,negative,5
7897,Poor packaging quality critical!!!,Packaging,High,negative,3
7898,Damaged packaging No rush.,Packaging,Low,positive,25
7899,Need bulk order details,Trade,Medium,neutral,15
7900,Item is completely broken No rush.,Product,Low,positive,26
7901,The package was crushed fast!!,Packaging,High,negative,4
7902,Product malfunctioning,Product,High,negative,4
7903,Defective item received No rush.,Product,Low,positive,28
7904,This product broke immediately fast!,Product,High,negative,2
7905,Trade-related query fast!!!,Trade,High,negative,2
7906,Wrapping was completely destroyed critical!,Packaging,High,negative,2
7907,Trade-related query,Trade,Medium,neutral,13
7908,The package was crushed urgent!!!,Packaging,High,negative,5
7909,The package was crushed,Packaging,Medium,neutral,6
7910,I need a quote for a large order immediately!!,Trade,High,negative,1
7911,Item is completely broken,Product,Medium,neutral,10
7912,I need a refund because it broke No rush.,Product,Low,positive,22
7913,Wrapping was completely destroyed asap!!,Packaging,High,negative,3
7914,Trade-related query It has been 2 days.,Trade,Medium,neutral,7
7915,Product stopped working critical!!!,Product,High,negative,2
7916,Quality is terrible and broke immediately!!,Product,High,negative,2
7917,Poor packaging quality,Packaging,Medium,neutral,11
7918,Torn box No rush.,Packaging,Low,positive,25
7919,Trade-related query It has been 2 days.,Trade,Medium,neutral,6
7920,Wrapping was completely destroyed No rush.,Packaging,Low,positive,22
7921,Quality is terrible and broke fast!,Product,High,negative,2
7922,Product malfunctioning,Product,High,negative,1
7923,Product malfunctioning No rush.,Product,Low,positive,30
7924,Defective item received It has been 4 days.,Product,Medium,neutral,10
7925,What is the wholesale price? It has been 2 days.,Trade,Medium,neutral,13
7926,Inquiry about pricing It has been 5 days.,Trade,Medium,neutral,7
7927,Damaged packaging It has been 2 days.,Packaging,Medium,neutral,7
7928,Wrapping was completely destroyed,Packaging,High,negative,3
7929,Wrapping was completely destroyed resolve soon!,Packaging,High,negative,2
7930,Need bulk order details No rush.,Trade,Low,positive,17
7931,Item is completely broken,Product,Medium,neutral,13
7932,The package was crushed It has been 5 days.,Packaging,Medium,neutral,8
7933,This product broke immediately No rush.,Product,Low,positive,27
7934,Torn box,Packaging,Medium,neutral,14
7935,The package was crushed No rush.,Packaging,Low,positive,17
7936,Damaged packaging It has been 4 days.,Packaging,Medium,neutral,10
7937,Damaged packaging,Packaging,Medium,neutral,12
7938,Torn box emergency!!!,Packaging,High,negative,1
7939,Product malfunctioning emergency!!!,Product,High,negative,3
7940,The package was crushed No rush.,Packaging,Low,positive,16
7941,Product stopped working It has been 3 days.,Product,Medium,neutral,8
7942,Trade-related query It has been 3 days.,Trade,Medium,neutral,8
7943,Wrapping was completely destroyed It has been 4 days.,Packaging,Medium,neutral,10
7944,Item is completely broken deadline!,Product,High,negative,3
7945,What is the wholesale price? No rush.,Trade,Low,positive,27
7946,Need bulk order details It has been 4 days.,Trade,Medium,neutral,13
7947,Inquiry about pricing,Trade,Medium,neutral,6
7948,Product malfunctioning emergency!!,Product,High,negative,4
7949,The package was crushed No rush.,Packaging,Low,positive,16
7950,Box was broken No rush.,Packaging,Low,positive,19
7951,I need a refund because it broke,Product,High,negative,1
7952,The package was crushed It has been 4 days.,Packaging,Medium,neutral,9
7953,Item is completely broken immediately!!,Product,High,negative,4
7954,Box was broken,Packaging,Medium,neutral,10
7955,Need bulk order details fast!,Trade,High,negative,5
7956,The package was crushed,Packaging,Medium,neutral,7
7957,Quality is terrible and broke,Product,Medium,neutral,12
7958,This product broke immediately,Product,High,negative,4
7959,Inquiry about pricing No rush.,Trade,Low,positive,21
7960,This product broke immediately It has been 3 days.,Product,Medium,neutral,14
7961,Poor packaging quality No rush.,Packaging,Low,positive,24
7962,Torn box It has been 5 days.,Packaging,Medium,neutral,11
7963,Inquiry about pricing It has been 5 days.,Trade,Medium,neutral,14
7964,Product malfunctioning It has been 2 days.,Product,Medium,neutral,9
7965,Inquiry about pricing It has been 4 days.,Trade,Medium,neutral,13
7966,Damaged packaging,Packaging,Medium,neutral,13
7967,Need bulk order details It has been 3 days.,Trade,Medium,neutral,8
7968,This product broke immediately,Product,Medium,neutral,10
7969,Need bulk order details It has been 3 days.,Trade,Medium,neutral,8
7970,Product malfunctioning No rush.,Product,Low,positive,21
7971,Product stopped working,Product,High,negative,3
7972,Box was broken It has been 4 days.,Packaging,Medium,neutral,14
7973,Torn box It has been 5 days.,Packaging,Medium,neutral,6
7974,Torn box asap!!,Packaging,High,negative,4
7975,Product stopped working,Product,Medium,neutral,15
7976,Need bulk order details emergency!,Trade,High,negative,2
7977,Quality is terrible and broke No rush.,Product,Low,positive,23
7978,Torn box critical!,Packaging,High,negative,1
7979,Torn box It has been 3 days.,Packaging,Medium,neutral,6
7980,Inquiry about pricing No rush.,Trade,Low,positive,28
7981,Damaged packaging deadline!!!,Packaging,High,negative,2
7982,Torn box critical!!,Packaging,High,negative,5
7983,Torn box,Packaging,High,negative,4
7984,Need bulk order details,Trade,High,negative,3
7985,Product stopped working,Product,High,negative,2
7986,Torn box No rush.,Packaging,Low,positive,27
7987,Trade-related query critical!,Trade,High,negative,3
7988,Wrapping was completely destroyed No rush.,Packaging,Low,positive,25
7989,Need bulk order details No rush.,Trade,Low,positive,30
7990,Poor packaging quality No rush.,Packaging,Low,positive,17
7991,Inquiry about pricing No rush.,Trade,Low,positive,24
7992,The package was crushed,Packaging,Medium,neutral,6
7993,Product stopped working emergency!!,Product,High,negative,3
7994,The package was crushed It has been 5 days.,Packaging,Medium,neutral,15
7995,I need a quote for a large order No rush.,Trade,Low,positive,30
7996,Torn box emergency!!!,Packaging,High,negative,5
7997,Quality is terrible and broke,Product,Medium,neutral,15
7998,Torn box No rush.,Packaging,Low,positive,18
7999,Trade-related query No rush.,Trade,Low,positive,24
8000,Need bulk order details No rush.,Trade,Low,positive,27
8001,Defective item received,Product,Medium,neutral,13
8002,Inquiry about pricing No rush.,Trade,Low,positive,22
8003,The package was crushed,Packaging,Medium,neutral,8
8004,Damaged packaging No rush.,Packaging,Low,positive,29
8005,Damaged packaging It has been 2 days.,Packaging,Medium,neutral,13
8006,Inquiry about pricing It has been 4 days.,Trade,Medium,neutral,9
8007,Poor packaging quality No rush.,Packaging,Low,positive,26
8008,Box was broken asap!,Packaging,High,negative,1
8009,Poor packaging quality No rush.,Packaging,Low,positive,18
8010,I need a refund because it broke,Product,Medium,neutral,12
8011,I need a quote for a large order,Trade,High,negative,4
8012,Inquiry about pricing It has been 2 days.,Trade,Medium,neutral,12
8013,Trade-related query,Trade,High,negative,5
8014,Product malfunctioning urgent!!,Product,High,negative,1
8015,Trade-related query deadline!,Trade,High,negative,1
8016,Item is completely broken emergency!,Product,High,negative,3
8017,Product stopped working,Product,High,negative,3
8018,What is the wholesale price?,Trade,High,negative,2
8019,Damaged packaging resolve soon!!!,Packaging,High,negative,2
8020,Damaged packaging,Packaging,Medium,neutral,14
8021,Trade-related query,Trade,High,negative,4
8022,Trade-related query,Trade,Medium,neutral,6
8023,Item is completely broken,Product,Medium,neutral,13
8024,Inquiry about pricing,Trade,Medium,neutral,13
8025,Quality is terrible and broke,Product,High,negative,4
8026,What is the wholesale price? No rush.,Trade,Low,positive,22
8027,Box was broken No rush.,Packaging,Low,positive,21
8028,Box was broken No rush.,Packaging,Low,positive,29
8029,Trade-related query No rush.,Trade,Low,positive,29
8030,Quality is terrible and broke urgent!!!,Product,High,negative,1
8031,The package was crushed asap!,Packaging,High,negative,5
8032,Defective item received,Product,High,negative,3
8033,Need bulk order details It has been 4 days.,Trade,Medium,neutral,14
8034,Inquiry about pricing It has been 5 days.,Trade,Medium,neutral,12
8035,Wrapping was completely destroyed,Packaging,High,negative,4
8036,Trade-related query It has been 4 days.,Trade,Medium,neutral,9
8037,The package was crushed,Packaging,High,negative,1
8038,Product stopped working quick!!,Product,High,negative,5
8039,The package was crushed No rush.,Packaging,Low,positive,25
8040,Wrapping was completely destroyed,Packaging,High,negative,4
8041,Defective item received,Product,Medium,neutral,10
8042,Box was broken No rush.,Packaging,Low,positive,26
8043,Box was broken,Packaging,Medium,neutral,15
8044,I need a quote for a large order,Trade,Medium,neutral,6
8045,Product malfunctioning No rush.,Product,Low,positive,22
8046,The package was crushed No rush.,Packaging,Low,positive,17
8047,Product stopped working immediately!,Product,High,negative,3
8048,Item is completely broken It has been 5 days.,Product,Medium,neutral,8
8049,Box was broken No rush.,Packaging,Low,positive,20
8050,I need a quote for a large order,Trade,Medium,neutral,14
8051,Item is completely broken resolve soon!!!,Product,High,negative,4
8052,Torn box fast!,Packaging,High,negative,5
8053,I need a refund because it broke It has been 4 days.,Product,Medium,neutral,12
